observation,action,reward,next_observation
[-0.03227871  0.03932359  0.0003038  -0.03054829],1,1.0,[-3.1492237e-02  2.3444119e-01 -3.0716578e-04 -3.2313535e-01]
[-3.1492237e-02  2.3444119e-01 -3.0716578e-04 -3.2313535e-01],0,1.0,[-0.02680341  0.03932361 -0.00676987 -0.03054931]
[-0.02680341  0.03932361 -0.00676987 -0.03054931],0,1.0,[-0.02601694 -0.15570061 -0.00738086  0.25998998]
[-0.02601694 -0.15570061 -0.00738086  0.25998998],0,1.0,[-0.02913095 -0.3507164  -0.00218106  0.55033576]
[-0.02913095 -0.3507164  -0.00218106  0.55033576],0,1.0,[-0.03614528 -0.54580766  0.00882566  0.84233075]
[-0.03614528 -0.54580766  0.00882566  0.84233075],1,1.0,[-0.04706144 -0.35080728  0.02567227  0.55243623]
[-0.04706144 -0.35080728  0.02567227  0.55243623],1,1.0,[-0.05407758 -0.1560551   0.03672099  0.26795104]
[-0.05407758 -0.1560551   0.03672099  0.26795104],0,1.0,[-0.05719868 -0.35168135  0.04208002  0.57198614]
[-0.05719868 -0.35168135  0.04208002  0.57198614],0,1.0,[-0.06423231 -0.5473673   0.05351974  0.87762314]
[-0.06423231 -0.5473673   0.05351974  0.87762314],1,1.0,[-0.07517966 -0.35301194  0.07107221  0.6022348 ]
[-0.07517966 -0.35301194  0.07107221  0.6022348 ],1,1.0,[-0.0822399  -0.15895231  0.0831169   0.3327579 ]
[-0.0822399  -0.15895231  0.0831169   0.3327579 ],0,1.0,[-0.08541894 -0.35515288  0.08977205  0.650451  ]
[-0.08541894 -0.35515288  0.08977205  0.650451  ],1,1.0,[-0.092522   -0.16138844  0.10278107  0.38733223]
[-0.092522   -0.16138844  0.10278107  0.38733223],1,1.0,[-0.09574977  0.0321358   0.11052772  0.12874228]
[-0.09574977  0.0321358   0.11052772  0.12874228],1,1.0,[-0.09510705  0.22551513  0.11310256 -0.12712769]
[-0.09510705  0.22551513  0.11310256 -0.12712769],0,1.0,[-0.09059675  0.02896988  0.11056001  0.19898781]
[-0.09059675  0.02896988  0.11056001  0.19898781],0,1.0,[-0.09001735 -0.16754547  0.11453976  0.5243995 ]
[-0.09001735 -0.16754547  0.11453976  0.5243995 ],0,1.0,[-0.09336826 -0.36407724  0.12502776  0.8508667 ]
[-0.09336826 -0.36407724  0.12502776  0.8508667 ],1,1.0,[-0.1006498  -0.17086153  0.1420451   0.59996784]
[-0.1006498  -0.17086153  0.1420451   0.59996784],1,1.0,[-0.10406704  0.02201745  0.15404445  0.3551842 ]
[-0.10406704  0.02201745  0.15404445  0.3551842 ],1,1.0,[-0.10362668  0.21465202  0.16114813  0.11476412]
[-0.10362668  0.21465202  0.16114813  0.11476412],0,1.0,[-0.09933364  0.01763196  0.16344342  0.453638  ]
[-0.09933364  0.01763196  0.16344342  0.453638  ],0,1.0,[-0.09898101 -0.17937814  0.17251618  0.79305345]
[-0.09898101 -0.17937814  0.17251618  0.79305345],1,1.0,[-0.10256857  0.01300898  0.18837725  0.559225  ]
[-0.10256857  0.01300898  0.18837725  0.559225  ],0,1.0,[-0.10230839 -0.18418798  0.19956174  0.9048436 ]
[-0.10230839 -0.18418798  0.19956174  0.9048436 ],1,1.0,[-0.10599215  0.00775376  0.21765862  0.6809276 ]
[ 0.04123802  0.01888317  0.01003577 -0.00053642],0,1.0,[ 0.04161568 -0.17638126  0.01002504  0.29529595]
[ 0.04161568 -0.17638126  0.01002504  0.29529595],1,1.0,[0.03808806 0.01859634 0.01593096 0.00579155]
[0.03808806 0.01859634 0.01593096 0.00579155],0,1.0,[ 0.03845998 -0.1767504   0.01604679  0.303458  ]
[ 0.03845998 -0.1767504   0.01604679  0.303458  ],1,1.0,[0.03492498 0.01813921 0.02211595 0.01587876]
[0.03492498 0.01813921 0.02211595 0.01587876],0,1.0,[ 0.03528776 -0.17729281  0.02243353  0.31545666]
[ 0.03528776 -0.17729281  0.02243353  0.31545666],1,1.0,[0.03174191 0.01750252 0.02874266 0.02993209]
[0.03174191 0.01750252 0.02874266 0.02993209],1,1.0,[ 0.03209195  0.21220075  0.0293413  -0.25354543]
[ 0.03209195  0.21220075  0.0293413  -0.25354543],0,1.0,[0.03633597 0.0166724  0.02427039 0.04824596]
[0.03633597 0.0166724  0.02427039 0.04824596],0,1.0,[ 0.03666942 -0.17878902  0.02523531  0.3484865 ]
[ 0.03666942 -0.17878902  0.02523531  0.3484865 ],1,1.0,[0.03309364 0.0159651  0.03220505 0.06386676]
[0.03309364 0.0159651  0.03220505 0.06386676],1,1.0,[ 0.03341294  0.21061087  0.03348238 -0.21848384]
[ 0.03341294  0.21061087  0.03348238 -0.21848384],0,1.0,[0.03762516 0.01502668 0.0291127  0.08456998]
[0.03762516 0.01502668 0.0291127  0.08456998],0,1.0,[ 0.03792569 -0.18050022  0.0308041   0.38629398]
[ 0.03792569 -0.18050022  0.0308041   0.38629398],1,1.0,[0.03431569 0.0141712  0.03852998 0.10348035]
[0.03431569 0.0141712  0.03852998 0.10348035],1,1.0,[ 0.03459911  0.2087204   0.04059959 -0.17680185]
[ 0.03459911  0.2087204   0.04059959 -0.17680185],0,1.0,[0.03877352 0.01304165 0.03706355 0.12840739]
[0.03877352 0.01304165 0.03706355 0.12840739],1,1.0,[ 0.03903435  0.20761359  0.0396317  -0.15235588]
[ 0.03903435  0.20761359  0.0396317  -0.15235588],1,1.0,[ 0.04318662  0.4021463   0.03658458 -0.43227717]
[ 0.04318662  0.4021463   0.03658458 -0.43227717],1,1.0,[ 0.05122955  0.59673166  0.02793904 -0.7132064 ]
[ 0.05122955  0.59673166  0.02793904 -0.7132064 ],0,1.0,[ 0.06316418  0.40123427  0.01367491 -0.41186178]
[ 0.06316418  0.40123427  0.01367491 -0.41186178],0,1.0,[ 0.07118887  0.20592116  0.00543768 -0.1148992 ]
[ 0.07118887  0.20592116  0.00543768 -0.1148992 ],0,1.0,[0.07530729 0.01072172 0.00313969 0.1794943 ]
[0.07530729 0.01072172 0.00313969 0.1794943 ],0,1.0,[ 0.07552172 -0.18444501  0.00672958  0.47316605]
[ 0.07552172 -0.18444501  0.00672958  0.47316605],1,1.0,[0.07183283 0.01058125 0.0161929  0.18261175]
[0.07183283 0.01058125 0.0161929  0.18261175],0,1.0,[ 0.07204445 -0.18476862  0.01984513  0.48035863]
[ 0.07204445 -0.18476862  0.01984513  0.48035863],0,1.0,[ 0.06834908 -0.380165    0.02945231  0.7792296 ]
[ 0.06834908 -0.380165    0.02945231  0.7792296 ],1,1.0,[ 0.06074578 -0.1854601   0.0450369   0.49595663]
[ 0.06074578 -0.1854601   0.0450369   0.49595663],1,1.0,[0.05703657 0.00899879 0.05495603 0.21780044]
[0.05703657 0.00899879 0.05495603 0.21780044],0,1.0,[ 0.05721655 -0.18686394  0.05931204  0.52729994]
[ 0.05721655 -0.18686394  0.05931204  0.52729994],0,1.0,[ 0.05347927 -0.38276806  0.06985804  0.83806694]
[ 0.05347927 -0.38276806  0.06985804  0.83806694],0,1.0,[ 0.04582391 -0.57877094  0.08661938  1.1518756 ]
[ 0.04582391 -0.57877094  0.08661938  1.1518756 ],0,1.0,[ 0.03424849 -0.77490956  0.10965689  1.4704148 ]
[ 0.03424849 -0.77490956  0.10965689  1.4704148 ],0,1.0,[ 0.0187503  -0.9711887   0.13906519  1.7952397 ]
[ 0.0187503  -0.9711887   0.13906519  1.7952397 ],1,1.0,[-6.7347271e-04 -7.7787149e-01  1.7496999e-01  1.5488168e+00]
[-6.7347271e-04 -7.7787149e-01  1.7496999e-01  1.5488168e+00],1,1.0,[-0.0162309  -0.5852277   0.20594631  1.3154423 ]
[-0.0162309  -0.5852277   0.20594631  1.3154423 ],1,1.0,[-0.02793546 -0.39321882  0.23225516  1.0936364 ]
[ 0.04951595 -0.04698949 -0.02113456  0.01993693],1,1.0,[ 0.04857616  0.14842908 -0.02073582 -0.27933857]
[ 0.04857616  0.14842908 -0.02073582 -0.27933857],1,1.0,[ 0.05154474  0.3438406  -0.02632259 -0.5784887 ]
[ 0.05154474  0.3438406  -0.02632259 -0.5784887 ],0,1.0,[ 0.05842155  0.14909725 -0.03789237 -0.29421285]
[ 0.05842155  0.14909725 -0.03789237 -0.29421285],1,1.0,[ 0.06140349  0.34473836 -0.04377663 -0.5986016 ]
[ 0.06140349  0.34473836 -0.04377663 -0.5986016 ],0,1.0,[ 0.06829827  0.1502554  -0.05574866 -0.3200228 ]
[ 0.06829827  0.1502554  -0.05574866 -0.3200228 ],0,1.0,[ 0.07130337 -0.04403013 -0.06214911 -0.04542888]
[ 0.07130337 -0.04403013 -0.06214911 -0.04542888],0,1.0,[ 0.07042277 -0.23820838 -0.06305769  0.22701608]
[ 0.07042277 -0.23820838 -0.06305769  0.22701608],1,1.0,[ 0.0656586  -0.04224459 -0.05851737 -0.08487207]
[ 0.0656586  -0.04224459 -0.05851737 -0.08487207],1,1.0,[ 0.06481371  0.15366523 -0.06021481 -0.3954281 ]
[ 0.06481371  0.15366523 -0.06021481 -0.3954281 ],1,1.0,[ 0.06788702  0.34958756 -0.06812337 -0.70647144]
[ 0.06788702  0.34958756 -0.06812337 -0.70647144],0,1.0,[ 0.07487877  0.15547225 -0.0822528  -0.4359866 ]
[ 0.07487877  0.15547225 -0.0822528  -0.4359866 ],0,1.0,[ 0.07798821 -0.03839486 -0.09097254 -0.17032416]
[ 0.07798821 -0.03839486 -0.09097254 -0.17032416],1,1.0,[ 0.07722031  0.15790346 -0.09437902 -0.4902631 ]
[ 0.07722031  0.15790346 -0.09437902 -0.4902631 ],1,1.0,[ 0.08037838  0.35422125 -0.10418428 -0.81113553]
[ 0.08037838  0.35422125 -0.10418428 -0.81113553],1,1.0,[ 0.08746281  0.5506044  -0.12040699 -1.1346878 ]
[ 0.08746281  0.5506044  -0.12040699 -1.1346878 ],0,1.0,[ 0.0984749   0.35724586 -0.14310074 -0.8820641 ]
[ 0.0984749   0.35724586 -0.14310074 -0.8820641 ],1,1.0,[ 0.10561981  0.55399114 -0.16074203 -1.2160937 ]
[ 0.10561981  0.55399114 -0.16074203 -1.2160937 ],1,1.0,[ 0.11669964  0.7507791  -0.1850639  -1.5545253 ]
[ 0.11669964  0.7507791  -0.1850639  -1.5545253 ],1,1.0,[ 0.13171522  0.9475736  -0.21615441 -1.8987751 ]
[ 0.02487017  0.02049466  0.01797929 -0.0278705 ],0,1.0,[ 0.02528006 -0.17488046  0.01742188  0.27043042]
[ 0.02528006 -0.17488046  0.01742188  0.27043042],0,1.0,[ 0.02178245 -0.37024662  0.02283049  0.56855696]
[ 0.02178245 -0.37024662  0.02283049  0.56855696],0,1.0,[ 0.01437752 -0.5656812   0.03420163  0.86834407]
[ 0.01437752 -0.5656812   0.03420163  0.86834407],1,1.0,[ 0.00306389 -0.3710409   0.05156851  0.58660764]
[ 0.00306389 -0.3710409   0.05156851  0.58660764],1,1.0,[-0.00435692 -0.17667769  0.06330066  0.3106048 ]
[-0.00435692 -0.17667769  0.06330066  0.3106048 ],1,1.0,[-0.00789048  0.01748796  0.06951276  0.03853763]
[-0.00789048  0.01748796  0.06951276  0.03853763],0,1.0,[-0.00754072 -0.1785584   0.07028351  0.35231727]
[-0.00754072 -0.1785584   0.07028351  0.35231727],0,1.0,[-0.01111189 -0.37460575  0.07732986  0.66630864]
[-0.01111189 -0.37460575  0.07732986  0.66630864],1,1.0,[-0.018604   -0.18063964  0.09065603  0.39894128]
[-0.018604   -0.18063964  0.09065603  0.39894128],1,1.0,[-0.02221679  0.01308716  0.09863485  0.13616076]
[-0.02221679  0.01308716  0.09863485  0.13616076],1,1.0,[-0.02195505  0.20666812  0.10135807 -0.1238477 ]
[-0.02195505  0.20666812  0.10135807 -0.1238477 ],0,1.0,[-0.01782169  0.01025114  0.09888112  0.19901393]
[-0.01782169  0.01025114  0.09888112  0.19901393],1,1.0,[-0.01761666  0.20382999  0.1028614  -0.06091227]
[-0.01761666  0.20382999  0.1028614  -0.06091227],1,1.0,[-0.01354007  0.39733824  0.10164315 -0.31945246]
[-0.01354007  0.39733824  0.10164315 -0.31945246],0,1.0,[-0.0055933   0.20092666  0.0952541   0.00347596]
[-0.0055933   0.20092666  0.0952541   0.00347596],0,1.0,[-0.00157477  0.00457684  0.09532362  0.3246279 ]
[-0.00157477  0.00457684  0.09532362  0.3246279 ],1,1.0,[-0.00148323  0.1982214   0.10181618  0.06346247]
[-0.00148323  0.1982214   0.10181618  0.06346247],0,1.0,[0.0024812  0.0017982  0.10308543 0.3864537 ]
[0.0024812  0.0017982  0.10308543 0.3864537 ],0,1.0,[ 0.00251716 -0.19462451  0.1108145   0.7097771 ]
[ 0.00251716 -0.19462451  0.1108145   0.7097771 ],0,1.0,[-0.00137533 -0.39109257  0.12501004  1.0351844 ]
[-0.00137533 -0.39109257  0.12501004  1.0351844 ],1,1.0,[-0.00919718 -0.1978343   0.14571373  0.78421646]
[-0.00919718 -0.1978343   0.14571373  0.78421646],1,1.0,[-0.01315387 -0.00498302  0.16139807  0.5406936 ]
[-0.01315387 -0.00498302  0.16139807  0.5406936 ],0,1.0,[-0.01325353 -0.20196164  0.17221193  0.8795667 ]
[-0.01325353 -0.20196164  0.17221193  0.8795667 ],0,1.0,[-0.01729276 -0.39895222  0.18980327  1.2210623 ]
[-0.01729276 -0.39895222  0.18980327  1.2210623 ],0,1.0,[-0.0252718  -0.5959438   0.21422452  1.5667108 ]
[-0.01374608 -0.01227838  0.02324006  0.03692262],1,1.0,[-0.01399165  0.18250273  0.02397851 -0.2483382 ]
[-0.01399165  0.18250273  0.02397851 -0.2483382 ],0,1.0,[-0.01034159 -0.01295331  0.01901175  0.0518106 ]
[-0.01034159 -0.01295331  0.01901175  0.0518106 ],1,1.0,[-0.01060066  0.18189095  0.02004796 -0.23481385]
[-0.01060066  0.18189095  0.02004796 -0.23481385],1,1.0,[-0.00696284  0.37672082  0.01535168 -0.5211062 ]
[-0.00696284  0.37672082  0.01535168 -0.5211062 ],1,1.0,[ 5.7157414e-04  5.7162333e-01  4.9295560e-03 -8.0891234e-01]
[ 5.7157414e-04  5.7162333e-01  4.9295560e-03 -8.0891234e-01],0,1.0,[ 0.01200404  0.37643418 -0.01124869 -0.5146829 ]
[ 0.01200404  0.37643418 -0.01124869 -0.5146829 ],0,1.0,[ 0.01953273  0.18147244 -0.02154235 -0.2255658 ]
[ 0.01953273  0.18147244 -0.02154235 -0.2255658 ],0,1.0,[ 0.02316217 -0.01333512 -0.02605367  0.06024476]
[ 0.02316217 -0.01333512 -0.02605367  0.06024476],1,1.0,[ 0.02289547  0.18215051 -0.02484877 -0.24054308]
[ 0.02289547  0.18215051 -0.02484877 -0.24054308],1,1.0,[ 0.02653848  0.37761846 -0.02965963 -0.54095924]
[ 0.02653848  0.37761846 -0.02965963 -0.54095924],0,1.0,[ 0.03409085  0.18292567 -0.04047882 -0.2577672 ]
[ 0.03409085  0.18292567 -0.04047882 -0.2577672 ],1,1.0,[ 0.03774936  0.37860146 -0.04563416 -0.5629379 ]
[ 0.03774936  0.37860146 -0.04563416 -0.5629379 ],1,1.0,[ 0.04532139  0.5743331  -0.05689292 -0.8696415 ]
[ 0.04532139  0.5743331  -0.05689292 -0.8696415 ],1,1.0,[ 0.05680805  0.7701809  -0.07428575 -1.1796554 ]
[ 0.05680805  0.7701809  -0.07428575 -1.1796554 ],0,1.0,[ 0.07221167  0.57609785 -0.09787886 -0.9111537 ]
[ 0.07221167  0.57609785 -0.09787886 -0.9111537 ],1,1.0,[ 0.08373363  0.77239823 -0.11610193 -1.2329254 ]
[ 0.08373363  0.77239823 -0.11610193 -1.2329254 ],0,1.0,[ 0.09918159  0.5789446  -0.14076044 -0.97875583]
[ 0.09918159  0.5789446  -0.14076044 -0.97875583],1,1.0,[ 0.11076049  0.7756443  -0.16033556 -1.3121343 ]
[ 0.11076049  0.7756443  -0.16033556 -1.3121343 ],0,1.0,[ 0.12627336  0.58287394 -0.18657824 -1.0736245 ]
[ 0.12627336  0.58287394 -0.18657824 -1.0736245 ],1,1.0,[ 0.13793086  0.7799053  -0.20805073 -1.4185785 ]
[ 0.13793086  0.7799053  -0.20805073 -1.4185785 ],0,1.0,[ 0.15352896  0.5878757  -0.2364223  -1.1974723 ]
[-0.00185605 -0.01492565 -0.00601834 -0.04136032],0,1.0,[-0.00215456 -0.20996079 -0.00684554  0.2494177 ]
[-0.00215456 -0.20996079 -0.00684554  0.2494177 ],0,1.0,[-0.00635377 -0.40498433 -0.00185719  0.53993356]
[-0.00635377 -0.40498433 -0.00185719  0.53993356],0,1.0,[-0.01445346 -0.60008013  0.00894148  0.8320307 ]
[-0.01445346 -0.60008013  0.00894148  0.8320307 ],0,1.0,[-0.02645506 -0.79532313  0.0255821   1.1275123 ]
[-0.02645506 -0.79532313  0.0255821   1.1275123 ],0,1.0,[-0.04236152 -0.9907707   0.04813234  1.4281081 ]
[-0.04236152 -0.9907707   0.04813234  1.4281081 ],1,1.0,[-0.06217694 -0.7962752   0.0766945   1.1508482 ]
[-0.06217694 -0.7962752   0.0766945   1.1508482 ],0,1.0,[-0.07810244 -0.9923095   0.09971147  1.4665613 ]
[-0.07810244 -0.9923095   0.09971147  1.4665613 ],1,1.0,[-0.09794863 -0.79853976  0.1290427   1.206617  ]
[-0.09794863 -0.79853976  0.1290427   1.206617  ],0,1.0,[-0.11391943 -0.99507093  0.15317503  1.5367961 ]
[-0.11391943 -0.99507093  0.15317503  1.5367961 ],1,1.0,[-0.13382085 -0.80208874  0.18391095  1.2955695 ]
[-0.13382085 -0.80208874  0.18391095  1.2955695 ],1,1.0,[-0.14986262 -0.60971653  0.20982234  1.0656431 ]
[-0.01493916  0.01972999 -0.03534571 -0.0309203 ],0,1.0,[-0.01454456 -0.17486772 -0.03596412  0.25040448]
[-0.01454456 -0.17486772 -0.03596412  0.25040448],1,1.0,[-0.01804191  0.02074886 -0.03095603 -0.05340182]
[-0.01804191  0.02074886 -0.03095603 -0.05340182],1,1.0,[-0.01762693  0.21630068 -0.03202407 -0.35568866]
[-0.01762693  0.21630068 -0.03202407 -0.35568866],0,1.0,[-0.01330092  0.02164834 -0.03913784 -0.07327331]
[-0.01330092  0.02164834 -0.03913784 -0.07327331],0,1.0,[-0.01286795 -0.1728913  -0.04060331  0.2068091 ]
[-0.01286795 -0.1728913  -0.04060331  0.2068091 ],0,1.0,[-0.01632578 -0.36740983 -0.03646712  0.48641232]
[-0.01632578 -0.36740983 -0.03646712  0.48641232],0,1.0,[-0.02367398 -0.5619987  -0.02673888  0.7673827 ]
[-0.02367398 -0.5619987  -0.02673888  0.7673827 ],1,1.0,[-0.03491395 -0.36651906 -0.01139123  0.4664077 ]
[-0.03491395 -0.36651906 -0.01139123  0.4664077 ],1,1.0,[-0.04224433 -0.17123805 -0.00206307  0.1701562 ]
[-0.04224433 -0.17123805 -0.00206307  0.1701562 ],0,1.0,[-0.04566909 -0.36633042  0.00134005  0.4621876 ]
[-0.04566909 -0.36633042  0.00134005  0.4621876 ],1,1.0,[-0.0529957  -0.17122741  0.0105838   0.16992733]
[-0.0529957  -0.17122741  0.0105838   0.16992733],1,1.0,[-0.05642025  0.02374146  0.01398235 -0.11939802]
[-0.05642025  0.02374146  0.01398235 -0.11939802],0,1.0,[-0.05594542 -0.171578    0.01159439  0.17766322]
[-0.05594542 -0.171578    0.01159439  0.17766322],0,1.0,[-0.05937698 -0.36686394  0.01514765  0.4739811 ]
[-0.05937698 -0.36686394  0.01514765  0.4739811 ],0,1.0,[-0.06671426 -0.5621965   0.02462728  0.77139956]
[-0.06671426 -0.5621965   0.02462728  0.77139956],0,1.0,[-0.07795819 -0.7576485   0.04005527  1.0717283 ]
[-0.07795819 -0.7576485   0.04005527  1.0717283 ],0,1.0,[-0.09311116 -0.9532765   0.06148984  1.376708  ]
[-0.09311116 -0.9532765   0.06148984  1.376708  ],0,1.0,[-0.11217669 -1.1491103   0.089024    1.6879703 ]
[-0.11217669 -1.1491103   0.089024    1.6879703 ],1,1.0,[-0.1351589  -0.9551234   0.12278341  1.4242808 ]
[-0.1351589  -0.9551234   0.12278341  1.4242808 ],1,1.0,[-0.15426137 -0.76171464  0.15126902  1.1723593 ]
[-0.15426137 -0.76171464  0.15126902  1.1723593 ],0,1.0,[-0.16949566 -0.9584441   0.1747162   1.5083874 ]
[-0.16949566 -0.9584441   0.1747162   1.5083874 ],1,1.0,[-0.18866454 -0.7658172   0.20488395  1.2749516 ]
[-0.18866454 -0.7658172   0.20488395  1.2749516 ],0,1.0,[-0.20398088 -0.96287644  0.23038298  1.6241734 ]
[-0.04134686  0.02021933 -0.04321256  0.04913666],0,1.0,[-0.04094247 -0.1742572  -0.04222983  0.3278786 ]
[-0.04094247 -0.1742572  -0.04222983  0.3278786 ],1,1.0,[-0.04442761  0.02143972 -0.03567226  0.02218306]
[-0.04442761  0.02143972 -0.03567226  0.02218306],0,1.0,[-0.04399882 -0.17315298 -0.0352286   0.303401  ]
[-0.04399882 -0.17315298 -0.0352286   0.303401  ],1,1.0,[-0.04746188  0.02245286 -0.02916058 -0.00018079]
[-0.04746188  0.02245286 -0.02916058 -0.00018079],1,1.0,[-0.04701282  0.21798062 -0.02916419 -0.30191973]
[-0.04701282  0.21798062 -0.02916419 -0.30191973],1,1.0,[-0.04265321  0.41350582 -0.03520259 -0.6036559 ]
[-0.04265321  0.41350582 -0.03520259 -0.6036559 ],1,1.0,[-0.0343831  0.609102  -0.0472757 -0.9072158]
[-0.0343831  0.609102  -0.0472757 -0.9072158],1,1.0,[-0.02220106  0.80483097 -0.06542002 -1.2143751 ]
[-0.02220106  0.80483097 -0.06542002 -1.2143751 ],0,1.0,[-0.00610444  0.61061126 -0.08970752 -0.9428885 ]
[-0.00610444  0.61061126 -0.08970752 -0.9428885 ],1,1.0,[ 0.00610779  0.8068199  -0.10856529 -1.2623568 ]
[ 0.00610779  0.8068199  -0.10856529 -1.2623568 ],1,1.0,[ 0.02224419  1.0031495  -0.13381243 -1.5869728 ]
[ 0.02224419  1.0031495  -0.13381243 -1.5869728 ],0,1.0,[ 0.04230718  0.8098478  -0.16555189 -1.3388358 ]
[ 0.04230718  0.8098478  -0.16555189 -1.3388358 ],0,1.0,[ 0.05850413  0.6171517  -0.1923286  -1.1021938 ]
[ 0.05850413  0.6171517  -0.1923286  -1.1021938 ],0,1.0,[ 0.07084717  0.4250076  -0.21437247 -0.8754886 ]
[-0.04222798  0.04990219  0.01390181 -0.00127376],0,1.0,[-0.04122993 -0.14541635  0.01387634  0.29576275]
[-0.04122993 -0.14541635  0.01387634  0.29576275],0,1.0,[-0.04413826 -0.34073335  0.01979159  0.59278953]
[-0.04413826 -0.34073335  0.01979159  0.59278953],0,1.0,[-0.05095293 -0.5361267   0.03164738  0.8916405 ]
[-0.05095293 -0.5361267   0.03164738  0.8916405 ],0,1.0,[-0.06167546 -0.73166335  0.04948019  1.1941013 ]
[-0.06167546 -0.73166335  0.04948019  1.1941013 ],1,1.0,[-0.07630873 -0.5372158   0.07336222  0.91732836]
[-0.07630873 -0.5372158   0.07336222  0.91732836],1,1.0,[-0.08705305 -0.34315836  0.09170879  0.64857423]
[-0.08705305 -0.34315836  0.09170879  0.64857423],1,1.0,[-0.09391621 -0.14942558  0.10468027  0.38612086]
[-0.09391621 -0.14942558  0.10468027  0.38612086],1,1.0,[-0.09690472  0.04406667  0.11240269  0.12819108]
[-0.09690472  0.04406667  0.11240269  0.12819108],1,1.0,[-0.09602339  0.23741394  0.11496651 -0.1270228 ]
[-0.09602339  0.23741394  0.11496651 -0.1270228 ],0,1.0,[-0.09127511  0.04084877  0.11242606  0.1996043 ]
[-0.09127511  0.04084877  0.11242606  0.1996043 ],0,1.0,[-0.09045813 -0.15568662  0.11641814  0.5255299 ]
[-0.09045813 -0.15568662  0.11641814  0.5255299 ],1,1.0,[-0.09357186  0.03762123  0.12692875  0.27168056]
[-0.09357186  0.03762123  0.12692875  0.27168056],1,1.0,[-0.09281944  0.23072502  0.13236235  0.02157198]
[-0.09281944  0.23072502  0.13236235  0.02157198],1,1.0,[-0.08820494  0.4237249   0.13279378 -0.22659452]
[-0.08820494  0.4237249   0.13279378 -0.22659452],1,1.0,[-0.07973044  0.6167238   0.1282619  -0.4746173 ]
[-0.07973044  0.6167238   0.1282619  -0.4746173 ],0,1.0,[-0.06739597  0.420046    0.11876956 -0.14441836]
[-0.06739597  0.420046    0.11876956 -0.14441836],0,1.0,[-0.05899505  0.2234411   0.11588119  0.18324766]
[-0.05899505  0.2234411   0.11588119  0.18324766],1,1.0,[-0.05452622  0.4167307   0.11954614 -0.07074936]
[-0.05452622  0.4167307   0.11954614 -0.07074936],0,1.0,[-0.04619161  0.22011577  0.11813115  0.25713104]
[-0.04619161  0.22011577  0.11813115  0.25713104],1,1.0,[-0.0417893   0.41337046  0.12327377  0.00391915]
[-0.0417893   0.41337046  0.12327377  0.00391915],1,1.0,[-0.03352189  0.60652864  0.12335216 -0.24746867]
[-0.03352189  0.60652864  0.12335216 -0.24746867],0,1.0,[-0.02139132  0.4098807   0.11840279  0.08143559]
[-0.02139132  0.4098807   0.11840279  0.08143559],0,1.0,[-0.0131937   0.21327801  0.1200315   0.40900403]
[-0.0131937   0.21327801  0.1200315   0.40900403],1,1.0,[-0.00892814  0.40651184  0.12821157  0.1564434 ]
[-0.00892814  0.40651184  0.12821157  0.1564434 ],0,1.0,[-0.0007979   0.20980957  0.13134044  0.48666605]
[-0.0007979   0.20980957  0.13134044  0.48666605],0,1.0,[0.00339829 0.01310272 0.14107376 0.8176882 ]
[0.00339829 0.01310272 0.14107376 0.8176882 ],1,1.0,[0.00366034 0.20604081 0.15742753 0.5724944 ]
[0.00366034 0.20604081 0.15742753 0.5724944 ],0,1.0,[0.00778116 0.00910257 0.16887742 0.9103415 ]
[0.00778116 0.00910257 0.16887742 0.9103415 ],0,1.0,[ 0.00796321 -0.18785255  0.18708424  1.2509856 ]
[ 0.00796321 -0.18785255  0.18708424  1.2509856 ],0,1.0,[ 0.00420616 -0.38481286  0.21210396  1.5959533 ]
[-0.02913627 -0.0358219   0.04954673 -0.01230145],0,1.0,[-0.02985271 -0.2316181   0.0493007   0.29559323]
[-0.02985271 -0.2316181   0.0493007   0.29559323],1,1.0,[-0.03448508 -0.0372324   0.05521256  0.01885748]
[-0.03448508 -0.0372324   0.05521256  0.01885748],1,1.0,[-0.03522972  0.15705606  0.05558971 -0.25590688]
[-0.03522972  0.15705606  0.05558971 -0.25590688],0,1.0,[-0.0320886  -0.0388137   0.05047157  0.05377888]
[-0.0320886  -0.0388137   0.05047157  0.05377888],0,1.0,[-0.03286488 -0.23462164  0.05154715  0.36194912]
[-0.03286488 -0.23462164  0.05154715  0.36194912],0,1.0,[-0.03755731 -0.43043694  0.05878614  0.67043006]
[-0.03755731 -0.43043694  0.05878614  0.67043006],0,1.0,[-0.04616605 -0.6263248   0.07219473  0.9810274 ]
[-0.04616605 -0.6263248   0.07219473  0.9810274 ],0,1.0,[-0.05869254 -0.82233614  0.09181529  1.2954855 ]
[-0.05869254 -0.82233614  0.09181529  1.2954855 ],1,1.0,[-0.07513927 -0.6284927   0.11772499  1.0329008 ]
[-0.07513927 -0.6284927   0.11772499  1.0329008 ],1,1.0,[-0.08770912 -0.43511647  0.138383    0.7793754 ]
[-0.08770912 -0.43511647  0.138383    0.7793754 ],1,1.0,[-0.09641145 -0.24214084  0.15397051  0.533234  ]
[-0.09641145 -0.24214084  0.15397051  0.533234  ],1,1.0,[-0.10125427 -0.04948134  0.1646352   0.29275218]
[-0.10125427 -0.04948134  0.1646352   0.29275218],1,1.0,[-0.10224389  0.14295742  0.17049024  0.0561816 ]
[-0.10224389  0.14295742  0.17049024  0.0561816 ],0,1.0,[-0.09938475 -0.05414682  0.17161387  0.3974331 ]
